ResearchID,Title,Author,Department,PublishedIn,Year,CitationCount
1,Research Paper 1,Faculty 81,Commerce,Nature,2018,40
2,Research Paper 2,Faculty 65,Engineering,Nature,2021,68
3,Research Paper 3,Faculty 88,Commerce,IEEE,2023,59
4,Research Paper 4,Faculty 4,Commerce,Nature,2022,68
5,Research Paper 5,Faculty 47,Mathematics,Elsevier,2021,62
6,Research Paper 6,Faculty 80,Engineering,Elsevier,2015,74
7,Research Paper 7,Faculty 68,Engineering,IEEE,2016,50
8,Research Paper 8,Faculty 62,Commerce,IEEE,2015,72
9,Research Paper 9,Faculty 68,Arts,Nature,2020,57
10,Research Paper 10,Faculty 34,Engineering,Elsevier,2017,81
11,Research Paper 11,Faculty 19,Arts,Elsevier,2015,49
12,Research Paper 12,Faculty 23,Arts,IEEE,2020,19
13,Research Paper 13,Faculty 81,Arts,IEEE,2016,70
14,Research Paper 14,Faculty 2,Arts,IEEE,2023,24
15,Research Paper 15,Faculty 39,Mathematics,IEEE,2021,0
16,Research Paper 16,Faculty 10,Engineering,Nature,2022,48
17,Research Paper 17,Faculty 74,Engineering,IEEE,2015,26
18,Research Paper 18,Faculty 68,Science,Elsevier,2018,34
19,Research Paper 19,Faculty 72,Engineering,Nature,2017,26
20,Research Paper 20,Faculty 15,Mathematics,IEEE,2018,94
21,Research Paper 21,Faculty 42,Mathematics,IEEE,2021,24
22,Research Paper 22,Faculty 3,Science,IEEE,2019,91
23,Research Paper 23,Faculty 42,Arts,Elsevier,2023,28
24,Research Paper 24,Faculty 12,Arts,Nature,2024,19
25,Research Paper 25,Faculty 86,Mathematics,IEEE,2021,80
26,Research Paper 26,Faculty 58,Mathematics,IEEE,2020,100
27,Research Paper 27,Faculty 89,Engineering,Elsevier,2019,61
28,Research Paper 28,Faculty 67,Mathematics,Nature,2015,6
29,Research Paper 29,Faculty 66,Engineering,Elsevier,2018,22
30,Research Paper 30,Faculty 83,Arts,IEEE,2024,58
31,Research Paper 31,Faculty 38,Science,Nature,2017,52
32,Research Paper 32,Faculty 72,Commerce,Nature,2021,89
33,Research Paper 33,Faculty 60,Engineering,Elsevier,2017,14
34,Research Paper 34,Faculty 92,Commerce,Elsevier,2015,26
35,Research Paper 35,Faculty 19,Science,Elsevier,2019,60
36,Research Paper 36,Faculty 5,Arts,IEEE,2015,13
37,Research Paper 37,Faculty 84,Commerce,IEEE,2016,30
38,Research Paper 38,Faculty 66,Commerce,IEEE,2019,72
39,Research Paper 39,Faculty 56,Mathematics,Elsevier,2018,2
40,Research Paper 40,Faculty 77,Science,Nature,2019,34
41,Research Paper 41,Faculty 71,Arts,IEEE,2019,78
42,Research Paper 42,Faculty 96,Commerce,IEEE,2016,80
43,Research Paper 43,Faculty 50,Mathematics,Nature,2023,36
44,Research Paper 44,Faculty 7,Science,Nature,2019,59
